"streetname","originalcertifybydate","newcorrectbydate","registrationid","longitude","zip","latitude","violationid","class","inspectiondate","newcertifybydate","nta","communityboard","violationstatus","councildistrict","censustract","bbl","story","block","buildingid","novid","currentstatus","currentstatusdate","lot","approveddate","novtype","ordernumber","certifieddate","highhousenumber","boro","bin","boroid","novissueddate","streetcode","novdescription","currentstatusid","originalcorrectbydate","lowhousenumber","housenumber","apartment"
"EAST 108 STREET","2014-02-01T00:00:00.000",NULL,374109,-73.890336,11236,40.646929,10002459,"A","2013-10-10T00:00:00.000",NULL,"Canarsie",18,"Close",46,1018,3082350289,"2",8235,287147,4707522,"VIOLATION CLOSED","2016-11-14T00:00:00.000",289,"2013-10-11T00:00:00.000","Original",508,NULL,"1031","BROOKLYN",3231523,3,"2013-10-15T00:00:00.000",38250,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING AND EAST WALL  IN THE 2nd ROOM  FROM NORTH AT EAST LOCATED AT APT 2C\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2014-01-18T00:00:00.000","1001","1001","2C"
"16 STREET","2008-06-09T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000246,"C","1986-06-25T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"All Stories",1047,141469,3286049,"VIOLATION CLOSED","2015-10-22T00:00:00.000",50,"1985-06-13T00:00:00.000","Reissued",671,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-17.10 ADM CODE  POST NOTICE\, IN FORM APPROVED BY THE DEPARTMENT\, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDING'S HEATING SYSTEM 1 STY PUBLIC HALL & ON BOILER ROOM DOOR.",19,"2008-06-04T00:00:00.000","189","189",NULL
"EAST 108 STREET","2013-12-03T00:00:00.000",NULL,374109,-73.890336,11236,40.646929,10002460,"B","2013-10-10T00:00:00.000",NULL,"Canarsie",18,"Close",46,1018,3082350289,"2",8235,287147,4707523,"VIOLATION CLOSED","2016-11-14T00:00:00.000",289,"2013-10-11T00:00:00.000","Original",583,NULL,"1031","BROOKLYN",3231523,3,"2013-10-15T00:00:00.000",38250,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK OVER THE CEILING  IN THE BATHROOM  LOCATED AT APT 2C\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2013-11-19T00:00:00.000","1001","1001","2C"
"EAST 108 STREET","2014-02-01T00:00:00.000",NULL,374109,-73.890336,11236,40.646929,10002461,"A","2013-10-10T00:00:00.000",NULL,"Canarsie",18,"Close",46,1018,3082350289,"2",8235,287147,4707522,"VIOLATION CLOSED","2016-11-14T00:00:00.000",289,"2013-10-11T00:00:00.000","Original",508,NULL,"1031","BROOKLYN",3231523,3,"2013-10-15T00:00:00.000",38250,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING AND WALLS  IN THE BATHROOM  LOCATED AT APT 2C\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2014-01-18T00:00:00.000","1001","1001","2C"
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002463,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",502,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR TILES  IN THE BATHROOM  LOCATED AT BSMT-APT BSMT\, 1st BSMT-APT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","857","857","BSMT"
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002464,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",505,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE ERRODED METAL SINK BASE CABINET  IN THE KITCHEN  LOCATED AT BSMT-APT BSMT\, 1st BSMT-APT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","857","857","BSMT"
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002465,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",502,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE 1ST AND 2ND AND 8TH WOOD TREAD FROM BOTTOM UP  AT BASEMENT",19,"2013-11-19T00:00:00.000","857","857",NULL
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002466,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",508,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILINGS AND WALLS  IN THE ENTIRE APARTMENT  LOCATED AT BSMT-APT BSMT\, 1st BSMT-APT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","857","857","BSMT"
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002468,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",502,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE KITCHEN  LOCATED AT BSMT-APT BSMT\, 1st BSMT-APT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","857","857","BSMT"
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002469,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",502,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 3rd ROOM  FROM EAST AT NORTH LOCATED AT BSMT-APT BSMT\, 1st BSMT-APT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","857","857","BSMT"
"16 STREET","2008-06-09T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000247,"C","1986-06-25T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"Cellar",1047,141469,3286049,"VIOLATION CLOSED","2015-10-22T00:00:00.000",50,"1985-06-13T00:00:00.000","Reissued",672,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-17.10 ADM CODE  PROVIDE READY ACCESS TO BUILDING'S HEATING SYSTEM CELLAR DOOR LOCKED.",19,"2008-06-04T00:00:00.000","189","189",NULL
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002471,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",583,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE 2nd ROOM  FROM EAST AT SOUTH LOCATED AT APT BSMT\, 1st APARTMENT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","857","857","BSMT"
"BRUCKNER BOULEVARD","2014-02-01T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002472,"A","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707265,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",556,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING AND NORTH WALL IN THE BASEMENT  AT PUBLIC HALL",19,"2014-01-18T00:00:00.000","857","857",NULL
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002473,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Basement",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",502,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING AND NORTH WALL IN THE BASEMENT  AT PUBLIC HALL",19,"2013-11-19T00:00:00.000","857","857",NULL
"BEAUMONT AVENUE","2014-02-01T00:00:00.000",NULL,208142,-73.884986,10458,40.853087,10002478,"A","2013-10-10T00:00:00.000",NULL,"Belmont",6,"Close",15,391,2031030026,"1",3103,49163,4707261,"VIOLATION CLOSED","2016-03-29T00:00:00.000",26,"2013-10-11T00:00:00.000","Original",554,NULL,"2350","BRONX",2012868,2,"2013-10-15T00:00:00.000",12020,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE RISER AT SOUTH WALL  IN THE BATHROOM  LOCATED AT APT 3A\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2014-01-18T00:00:00.000","2350","2350","3A"
"16 STREET","2008-09-15T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000248,"A","1986-06-25T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"All Stories",1047,141469,3286047,"VIOLATION CLOSED","2015-10-22T00:00:00.000",50,"1985-06-13T00:00:00.000","Reissued",700,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-20.08 ADM CODE  POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS\, IN A FORM APPROVED BY THE COMMISSIONER\, AT OR NEAR THE MAIL BOX MISSING.",19,"2008-09-01T00:00:00.000","189","189",NULL
"16 STREET","2008-07-17T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000249,"B","1986-06-25T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"Cellar",1047,141469,3286048,"VIOLATION CLOSED","2016-08-17T00:00:00.000",50,"1986-06-25T00:00:00.000","Reissued",502,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-10.01 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE HOLE METAL CEILING FIRE PASSAGE EAST CELLAR.",19,"2008-07-03T00:00:00.000","189","189",NULL
"BRUCKNER BOULEVARD","2014-02-02T00:00:00.000",NULL,221186,-73.827481,10461,40.847809,10002490,"A","2013-10-10T00:00:00.000",NULL,"Pelham Bay-Country Club-City Island",10,"Close",13,26602,2041780010,"8",4178,53115,4708430,"VIOLATION CLOSED","2015-01-21T00:00:00.000",10,"2013-10-15T00:00:00.000","Original",554,"2014-03-03T00:00:00.000","3555","BRONX",2046332,2,"2013-10-16T00:00:00.000",15920,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION RADIATOR COVER AT WEST WALL  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 8L\, 8th STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2014-01-19T00:00:00.000","3555","3555","8L"
"BRUCKNER BOULEVARD","2014-02-02T00:00:00.000",NULL,221186,-73.827481,10461,40.847809,10002492,"A","2013-10-10T00:00:00.000",NULL,"Pelham Bay-Country Club-City Island",10,"Close",13,26602,2041780010,"8",4178,53115,4708430,"VIOLATION CLOSED","2015-01-21T00:00:00.000",10,"2013-10-15T00:00:00.000","Original",554,"2014-03-03T00:00:00.000","3555","BRONX",2046332,2,"2013-10-16T00:00:00.000",15920,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION RADIATOR COVER ON WEST WALL  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 8L\, 8th STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2014-01-19T00:00:00.000","3555","3555","8L"
"16 STREET","2008-07-17T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000250,"B","1987-01-13T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"Yards / Courts",1047,141469,3286048,"VIOLATION CLOSED","2015-10-22T00:00:00.000",50,"1987-01-13T00:00:00.000","Reissued",686,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-19.07 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING 50 WATTS NIGHT INSPECTION.",19,"2008-07-03T00:00:00.000","189","189",NULL
"EAST 29 STREET","2014-01-23T00:00:00.000",NULL,372552,-73.941468,11235,40.592765,10054032,"B","2013-12-03T00:00:00.000",NULL,"Sheepshead Bay-Gerritsen Beach-Manhattan Beach",15,"Close",48,59402,3074220917,"5",7422,256023,4736387,"VIOLATION CLOSED","2017-10-19T00:00:00.000",917,"2013-12-04T00:00:00.000","Original",702,NULL,"2440","BROOKLYN",3203569,3,"2013-12-05T00:00:00.000",36130,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR INOPERATIVE  LOCATED AT APT 5L\, 5th STORY\, 4th APARTMENT FROM SOUTH AT WEST",19,"2014-01-09T00:00:00.000","2440","2440","5L"
"16 STREET","2008-07-17T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000251,"B","1987-01-13T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"Roof",1047,141469,3286048,"VIOLATION CLOSED","2015-10-22T00:00:00.000",50,"1987-01-13T00:00:00.000","Reissued",683,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-19.05 ADM CODE  PROVIDE ADEQUATE LIGHT OF NOT LESS THAN 60 WATTS INCANDESCENT OR EQUIVALENT ILLUMINATION VESTIBULE 1 STY PUBLIC HALL NIGHT INSPECTION.",19,"2008-07-03T00:00:00.000","189","189",NULL
"SEWARD AVENUE","2013-12-04T00:00:00.000",NULL,221684,-73.852648,10473,40.820559,10002515,"B","2013-10-10T00:00:00.000",NULL,"Soundview-Castle Hill-Clason Point-Harding Park",9,"Close",18,74,2035670001,"9",3567,806938,4708741,"VIOLATION CLOSED","2016-09-12T00:00:00.000",1,"2013-10-15T00:00:00.000","Original",505,NULL,"2072","BRONX",2092671,2,"2013-10-16T00:00:00.000",64220,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE COUNTER TOP AT SINK.  IN THE KITCHEN  LOCATED AT APT 9F\, 9th STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2013-11-20T00:00:00.000","2070","2070","9F"
"SEWARD AVENUE","2013-12-04T00:00:00.000",NULL,221684,-73.852648,10473,40.820559,10002516,"B","2013-10-10T00:00:00.000",NULL,"Soundview-Castle Hill-Clason Point-Harding Park",9,"Close",18,74,2035670001,"9",3567,806938,4708741,"VIOLATION CLOSED","2016-09-12T00:00:00.000",1,"2013-10-15T00:00:00.000","Original",502,NULL,"2072","BRONX",2092671,2,"2013-10-16T00:00:00.000",64220,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOORING INSIDE THE SINK BASE CABINET  IN THE KITCHEN  LOCATED AT APT 9F\, 9th STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2013-11-20T00:00:00.000","2070","2070","9F"
"SEWARD AVENUE","2013-12-04T00:00:00.000",NULL,221684,-73.852648,10473,40.820559,10002517,"B","2013-10-10T00:00:00.000",NULL,"Soundview-Castle Hill-Clason Point-Harding Park",9,"Open",18,74,2035670001,"9",3567,806938,4708741,"NOT COMPLIED WITH","2016-09-12T00:00:00.000",1,"2013-10-15T00:00:00.000","Original",508,NULL,"2072","BRONX",2092671,2,"2013-10-16T00:00:00.000",64220,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR SOUTH WALL BEHIND THE SINK  IN THE KITCHEN  LOCATED AT APT 9F\, 9th STORY\, 2nd APARTMENT FROM NORTH AT EAST",21,"2013-11-20T00:00:00.000","2070","2070","9F"
"SEWARD AVENUE","2013-12-04T00:00:00.000",NULL,221684,-73.852648,10473,40.820559,10002518,"B","2013-10-10T00:00:00.000",NULL,"Soundview-Castle Hill-Clason Point-Harding Park",9,"Close",18,74,2035670001,"9",3567,806938,4708741,"VIOLATION DISMISSED","2016-09-12T00:00:00.000",1,"2013-10-15T00:00:00.000","Original",501,NULL,"2072","BRONX",2092671,2,"2013-10-16T00:00:00.000",64220,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE MECHANICAL VENTILATING SYSTEM  IN THE 4th BATHROOM  FROM NORTH LOCATED AT APT 9F\, 9th STORY\, 2nd APARTMENT FROM NORTH AT EAST",9,"2013-11-20T00:00:00.000","2070","2070","9F"
"SEWARD AVENUE","2013-12-04T00:00:00.000",NULL,221684,-73.852648,10473,40.820559,10002519,"B","2013-10-10T00:00:00.000",NULL,"Soundview-Castle Hill-Clason Point-Harding Park",9,"Close",18,74,2035670001,"9",3567,806938,4708741,"VIOLATION DISMISSED","2016-09-12T00:00:00.000",1,"2013-10-15T00:00:00.000","Original",502,NULL,"2072","BRONX",2092671,2,"2013-10-16T00:00:00.000",64220,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CAULKING AROUND THE BATH TUB  IN THE 4th BATHROOM  FROM NORTH LOCATED AT APT 9F\, 9th STORY\, 2nd APARTMENT FROM NORTH AT EAST",9,"2013-11-20T00:00:00.000","2070","2070","9F"
"16 STREET","2008-07-17T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000252,"B","1987-01-13T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"Roof",1047,141469,3286048,"VIOLATION CLOSED","2015-10-22T00:00:00.000",50,"1987-01-13T00:00:00.000","Reissued",683,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-19.05 ADM CODE  PROVIDE ADEQUATE LIGHT OF NOT LESS THAN 60 WATTS INCANDESCENT OR EQUIVALENT ILLUMINATION FRONT 1 STY PUBLIC HALL NIGHT INSPECTION.",19,"2008-07-03T00:00:00.000","189","189",NULL
"SEWARD AVENUE","2013-12-04T00:00:00.000",NULL,221684,-73.852648,10473,40.820559,10002520,"B","2013-10-10T00:00:00.000",NULL,"Soundview-Castle Hill-Clason Point-Harding Park",9,"Close",18,74,2035670001,"9",3567,806938,4708741,"VIOLATION DISMISSED","2016-09-12T00:00:00.000",1,"2013-10-15T00:00:00.000","Original",502,NULL,"2072","BRONX",2092671,2,"2013-10-16T00:00:00.000",64220,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC WALL TILE AT NORTH  AND  EAST WALLS  IN THE 4th BATHROOM  FROM NORTH LOCATED AT APT 9F\, 9th STORY\, 2nd APARTMENT FROM NORTH AT EAST",9,"2013-11-20T00:00:00.000","2070","2070","9F"
"SEWARD AVENUE","2014-02-02T00:00:00.000",NULL,221684,-73.852648,10473,40.820559,10002521,"A","2013-10-10T00:00:00.000",NULL,"Soundview-Castle Hill-Clason Point-Harding Park",9,"Close",18,74,2035670001,"9",3567,806938,4708740,"VIOLATION CLOSED","2016-09-12T00:00:00.000",1,"2013-10-15T00:00:00.000","Original",550,NULL,"2072","BRONX",2092671,2,"2013-10-16T00:00:00.000",64220,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... SOUTH WALL BEHIND  THE SINK  IN THE KITCHEN  LOCATED AT APT 9F\, 9th STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2014-01-19T00:00:00.000","2070","2070","9F"
"BRUCKNER BOULEVARD","2013-12-03T00:00:00.000",NULL,204298,-73.894044,10459,40.816962,10002525,"B","2013-10-10T00:00:00.000",NULL,"Hunts Point",2,"Close",17,89,2027320051,"Yards / Courts",2732,53160,4707266,"VIOLATION CLOSED","2016-08-25T00:00:00.000",51,"2013-10-11T00:00:00.000","Original",552,"2014-02-25T00:00:00.000","857","BRONX",2005860,2,"2013-10-15T00:00:00.000",15920,"SECTION 27-2010\, 2011\, 2012 ADM CODE  REMOVE THE ACCUMULATION OF REFUSE AND/OR RUBBISH AND MAINTAIN IN A CLEAN CONDITION THE REAR   YARD",19,"2013-11-19T00:00:00.000","857","857",NULL
"16 STREET","2008-07-17T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000253,"B","1987-01-13T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"Yards / Courts",1047,141469,3286048,"VIOLATION CLOSED","2016-08-17T00:00:00.000",50,"1987-01-13T00:00:00.000","Reissued",687,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-19.07 ADM CODE  INSTALL AND MAINTAIN SUFFICIENT LIGHT OR LIGHTS OF AT LEAST 40 WATTS INCANDESCENT OR EQUIVALENT EACH\, TO LIGHT ADEQUATELY FROM SUNSET TO SUNRISE THE EAST & REAR YARD NIGHT INSPECTION.",19,"2008-07-03T00:00:00.000","189","189",NULL
"EAST 163 STREET","2013-12-03T00:00:00.000",NULL,207598,-73.920859,10451,40.828305,10002533,"B","2013-10-10T00:00:00.000",NULL,"East Concourse-Concourse Village",4,"Close",16,18301,2024610016,"1",2461,64558,4707297,"VIOLATION CLOSED","2015-09-04T00:00:00.000",16,"2013-10-11T00:00:00.000","Original",508,"2013-12-05T00:00:00.000","180","BRONX",2002810,2,"2013-10-15T00:00:00.000",26550,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILING  IN THE BATHROOM  LOCATED AT APT 1K\, 1st STORY\, 2nd APARTMENT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","180","180","1K"
"EAST 163 STREET","2013-12-03T00:00:00.000",NULL,207598,-73.920859,10451,40.828305,10002534,"B","2013-10-10T00:00:00.000",NULL,"East Concourse-Concourse Village",4,"Close",16,18301,2024610016,"1",2461,64558,4707297,"VIOLATION CLOSED","2015-09-04T00:00:00.000",16,"2013-10-11T00:00:00.000","Original",583,"2013-12-05T00:00:00.000","180","BRONX",2002810,2,"2013-10-15T00:00:00.000",26550,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE BATHROOM  LOCATED AT APT 1K\, 1st STORY\, 2nd APARTMENT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","180","180","1K"
"EAST 163 STREET","2013-12-03T00:00:00.000",NULL,207598,-73.920859,10451,40.828305,10002535,"B","2013-10-10T00:00:00.000",NULL,"East Concourse-Concourse Village",4,"Close",16,18301,2024610016,"1",2461,64558,4707297,"VIOLATION CLOSED","2015-09-04T00:00:00.000",16,"2013-10-11T00:00:00.000","Original",550,"2013-12-05T00:00:00.000","180","BRONX",2002810,2,"2013-10-15T00:00:00.000",26550,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT SOUTH WALL  IN THE BATHROOM  LOCATED AT APT 1K\, 1st STORY\, 2nd APARTMENT FROM EAST AT SOUTH",19,"2013-11-19T00:00:00.000","180","180","1K"
"16 STREET","2008-07-17T00:00:00.000",NULL,339310,-73.990358,11215,40.665236,1000254,"B","1987-01-13T00:00:00.000",NULL,"Park Slope-Gowanus",7,"Close",39,141,3010470050,"Cellar",1047,141469,3286048,"VIOLATION CLOSED","2015-10-22T00:00:00.000",50,"1987-01-13T00:00:00.000","Reissued",684,NULL,"189","BROOKLYN",3023928,3,"2008-05-29T00:00:00.000",6730,"D26-19.01 ADM CODE  PROVIDE ADEQUATE LIGHTING EAST FRONT FIRE PASSAGEWAY NIGHT INSPECTION.",19,"2008-07-03T00:00:00.000","189","189",NULL
"EAST 59 STREET","2013-12-03T00:00:00.000",NULL,352456,-73.921692,11203,40.651659,10002548,"B","2013-10-10T00:00:00.000",NULL,"Rugby-Remsen Village",17,"Close",45,936,3047070022,"2",4707,273156,4707518,"VIOLATION CLOSED","2014-09-19T00:00:00.000",22,"2013-10-11T00:00:00.000","Original",569,NULL,"103","BROOKLYN",3103206,3,"2013-10-15T00:00:00.000",37430,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 2R\, 2nd STORY",19,"2013-11-19T00:00:00.000","103","103","2R"
"EAST 59 STREET","2013-12-03T00:00:00.000",NULL,352456,-73.921692,11203,40.651659,10002549,"B","2013-10-10T00:00:00.000",NULL,"Rugby-Remsen Village",17,"Open",45,936,3047070022,"2",4707,273156,4707518,"NOT COMPLIED WITH","2014-09-19T00:00:00.000",22,"2013-10-11T00:00:00.000","Original",568,NULL,"103","BROOKLYN",3103206,3,"2013-10-15T00:00:00.000",37430,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 2R\, 2nd STORY",21,"2013-11-19T00:00:00.000","103","103","2R"
